"client_name", "phone", "email", "profession", "city", "agent_assigned"
"Arfa Coleman", "+07-721826", "arfac@abc.com", "Doctor", "New York", "Nick Howe"
"Darragh Galindo", "+02-729848", "darraghg@lmn.org", "Artist", "Los Angeles", "Nick Howe"
"Ashleigh Meza", "+03-868937", "ashleighm@xyz.tech", "Engineer", "Chicago", "Nick Howe"
"Ella Kramer", "+03-722787", "ellak@hfc.com", "Engineer", "Houston", "Nick Howe"
"Leighton Silva", "+03-825900", "leightons@lmn.org", "Designer", "Phoenix", "Nick Howe"
"Monika Vasquez", "+02-520025", "monikav@abc.com", "Athlete", "Philadelphia", "Ziva Medalle"
"Bianca Mccabe", "+05-662173", "biancam@xyz.tech", "Engineer", "San Antonio", "Ziva Medalle"
"Cassia Velasquez", "+02-996683", "cassiav@hjk.com", "Artist", "New York", "Ziva Medalle"
"Georgiana Valencia", "+05-503856", "georgianav@hjk.com", "Designer", "Phoenix", "Ziva Medalle"
"Bradleigh Buckley", "+01-537650", "bradleigh@xyz.tech", "Contractor", "Houston", "Ziva Medalle"
"Gracie Humphrey", "+03-718770", "gracieh@abc.com", "Doctor", "New York", "Ziva Medalle"
"Kavita Nicholson", "+01-831736", "kavitan@lmn.org", "Artist", "Los Angeles", "Nick Howe"
"Vicki Simons", "+06-950479", "vickis@xyz.tech", "Engineer", "Chicago", "Ziva Medalle"
"Denny Tapia", "+06-937625", "dennyt@hfc.com", "Engineer", "Houston", "Nick Howe"
"Izabel Clarkson", "+07-088049", "izabelc@lmn.org", "Designer", "Phoenix", "Ziva Medalle"
"Kacper Brennan", "+05-836887", "kacperb@abc.com", "Athlete", "Philadelphia", "Ziva Medalle"
"Nojus Forbes", "+06-131602", "nojusf@xyz.tech", "Engineer", "San Antonio", "Ziva Medalle"
"Xavier Castaneda", "+02-822687", "xavierc@hjk.com", "Artist", "New York", "Ziva Medalle"
