ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CONTACTFIRSTNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,DEALSIZE
34903979-43fd-59e1-89b3-4a7075aecbb8,30,95.7,2,2871,2/24/2016,Shipped,1,2,2016,Motorcycles,95,S10_1678,Land of Toys Inc.,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Small
dc3965ad-2f8a-5c29-b016-6bcf8f8d8325,34,81.35,5,2765.9,5/7/2016,Shipped,2,5,2016,Motorcycles,95,S10_1678,Reims Collectables,Paul,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Small
a31850df-2f81-55f4-9d4f-2345109c7b40,41,94.74,2,3884.34,7/1/2016,Shipped,3,7,2016,Motorcycles,95,S10_1678,Lyon Souveniers,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Medium
8917793c-36fc-5c4e-b9ec-0633800c9058,45,83.26,6,3746.7,8/25/2016,Shipped,3,8,2016,Motorcycles,95,S10_1678,Toys4GrownUps.com,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Medium
74d218cd-40fd-5577-8653-6afaabed27c7,49,100,14,5205.27,10/10/2016,Shipped,4,10,2016,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Medium
7404f89c-bdf7-5bc9-9105-06c722d7287b,36,96.66,1,3479.76,10/28/2016,Shipped,4,10,2016,Motorcycles,95,S10_1678,Technics Stores Inc.,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Medium
d2b45a1d-3fad-57c7-99bc-1202722ee135,29,86.13,9,2497.77,11/11/2016,Shipped,4,11,2016,Motorcycles,95,S10_1678,Daedalus Designs Imports,Martine,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Small
c3219e28-c8fd-54f2-8eab-c170f4069a15,48,100,1,5512.32,11/18/2016,Shipped,4,11,2016,Motorcycles,95,S10_1678,Herkku Gifts,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Medium
a424621a-e3e9-54ef-9962-5c3dbd460eae,22,98.57,2,2168.54,12/1/2016,Shipped,4,12,2016,Motorcycles,95,S10_1678,Mini Wheels Co.,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Small
17438f19-751d-5e97-b9dc-4d1753933268,26,100,11,5404.62,1/29/2016,Shipped,1,1,2016,Classic Cars,214,S10_1949,Baane Mini Imports,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Medium
b7ec00fc-3fef-5522-aa6b-3a3339242978,29,100,1,7209.11,3/24/2016,Shipped,1,3,2016,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",Christina,0921-12 3555,Berguvsv�gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Large
74cf8599-2143-5524-9672-d51178d85853,38,100,11,7329.06,5/28/2016,Shipped,2,5,2016,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",Mart�n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Large
65c93904-e454-5774-8052-02cbc00fd3d9,37,100,11,7374.1,7/24/2016,Shipped,3,7,2016,Classic Cars,214,S10_1949,Technics Stores Inc.,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Large
dac837b0-6345-50cf-9413-9c8bb09e5247,45,100,8,10993.5,9/19/2016,Shipped,3,9,2016,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Large
ac505c59-8bff-58eb-a7d4-c34f1eb3cbbb,21,100,1,4860.24,10/20/2016,Shipped,4,10,2016,Classic Cars,214,S10_1949,Classic Legends Inc.,Maria,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Medium
5036235e-58e9-5162-8676-75d76a017b71,34,100,4,8014.82,11/6/2016,Shipped,4,11,2016,Classic Cars,214,S10_1949,"Australian Gift Network, Co",Tony,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Large
6b50a2a1-b426-5d3c-82d9-0345caf5d4f9,23,100,8,5372.57,11/13/2016,Shipped,4,11,2016,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",Francisca,2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Medium
f94a5535-88c3-58a8-8eb7-f3f8f181aefe,42,100,11,7290.36,11/25/2016,Shipped,4,11,2016,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",Mary,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Large
622e9797-18a5-573c-aaf0-f980315fa83c,47,100,6,9064.89,12/5/2016,Shipped,4,12,2016,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,Yoshi,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Large
67958e9b-103b-5792-b120-f9b25764e9d3,39,99.91,5,3896.49,2/24/2016,Shipped,1,2,2016,Motorcycles,118,S10_2016,Land of Toys Inc.,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Medium
14c15dae-fcc6-5216-b4e5-98b5ff926784,29,96.34,3,2793.86,4/29/2016,Shipped,2,4,2016,Motorcycles,118,S10_2016,"Australian Collectors, Co.",Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Small
df42c7fa-79e0-583c-905b-d990bbf5f23e,27,100,5,3307.77,7/1/2016,Shipped,3,7,2016,Motorcycles,118,S10_2016,Lyon Souveniers,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Medium
924a68d2-ea8a-5138-bc75-1c754d92eac7,37,100,9,5192.95,8/25/2016,Shipped,3,8,2016,Motorcycles,118,S10_2016,Toys4GrownUps.com,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Medium
